Rubric,Remedies.,Meaning
"Homeosetu Clinical Repertory; Boericke; Blotches; Face, on :","berb-a., colch., kali-bi., med., sep.",
"Homeosetu Clinical Repertory; Boericke; Blow, effects of :",mag-c.,
Homeosetu Clinical Repertory; Boericke; Blushing : ,ambr.,
"Homeosetu Clinical Repertory; Boericke; Body, odor of, offensive :",sol-t-ae.,
Homeosetu Clinical Repertory; Boericke; Boils :,"anac., anan., ant-c., Anthr., arn., aur., bell., bell-p., brom., cadm., calc., calc-m., calc-pic., crot-h., cupr-ar., cur., dulc., echi., fago., ferr-i., gunp., ho., ichth., insulin., kali-i., lach., lappa., mag-c., mag-s., mang-coll., med., merc., ol-myr., oper., phyt., pic-ac., sars., sec., sil., sul-ac., sul-i., torul., tub., urine., ust., vesp., vip.",
Homeosetu Clinical Repertory; Boericke; Boils; Blind :,fago.,
"Homeosetu Clinical Repertory; Boericke; Boils; Face, on :","ant-c., brom., med.",
Homeosetu Clinical Repertory; Boericke; Bone; Affections of : ,"conch., mez., nat-sil., nat-sil-f., plat-m-n., stront-c.",
Homeosetu Clinical Repertory; Boericke; Bone; Bruised : ,"kali-bi., ruta.",
Homeosetu Clinical Repertory; Boericke; Bone; Cancer of : ,nat-sil-f.,
Homeosetu Clinical Repertory; Boericke; Bone; Caries of : ,"ang., Asaf., aur., cadm., hecla., merc., mez., nat-sil-f., plat-m-n., sil., syph.",
Homeosetu Clinical Repertory; Boericke; Bone; Diseases of : ,"calc-p., sil.",
Homeosetu Clinical Repertory; Boericke; Bone; Exostoses on :,aur.,
Homeosetu Clinical Repertory; Boericke; Bone; Injuries of : ,ruta.,
Homeosetu Clinical Repertory; Boericke; Bone; Necrosis of : ,"fl-ac., hecla., sal-ac., sil.",
Homeosetu Clinical Repertory; Boericke; Bone; Pains in : ,"abies-n., aran., arg., asaf., astra-me., Aur., benz-ac., calc-p., canth., carb-ac., carb-v., cast-eq., caust., cere-b., chrysan., cimx., cinnb., cob., coch., cop., cor-r., cycl., euph., hep., iod., kali-bi., lach., mag-c., menth-pu., mez., oxyt., ph-ac., phos., phyt., polyp-p., rhod., rhus-v., ruta., sarr., sars., stann., still., symph., syph.",
Homeosetu Clinical Repertory; Boericke; Bone; Periostitis :,phos.,
Homeosetu Clinical Repertory; Boericke; Bone; Swelling of :,"asaf., bufo., calc-f., mag-c., Merc., merc-aur., merc-i-r., mez., symph.",
Homeosetu Clinical Repertory; Boericke; Bone; Tumours of : ,"kali-i., nat-sil-f.",
Homeosetu Clinical Repertory; Boericke; Borborygmi :,"colch., gnaph., haem., lact., olnd., thea.",
"Homeosetu Clinical Repertory; Boericke; Bowels, looseness of:","rhus-t., zing.",
Homeosetu Clinical Repertory; Boericke; Brachial neuralgia : ,verat.,
Homeosetu Clinical Repertory; Boericke; Brachialgia : ,coffin.,
"Homeosetu Clinical Repertory; Boericke; Brain, affections of :",agar.,
Homeosetu Clinical Repertory; Boericke; Brain; Anaemia of :,glon.,
"Homeosetu Clinical Repertory; Boericke; Brain; Base of, congested : ",verat-v.,
Homeosetu Clinical Repertory; Boericke; Brain; Concussion of :,"cic., sul-ac.",
Homeosetu Clinical Repertory; Boericke; Brain; Congestion of : ,"alum-sil., art-v., ferr-py., serp.",
Homeosetu Clinical Repertory; Boericke; Brain; Inflammation of :,hyos.,
Homeosetu Clinical Repertory; Boericke; Brain; Irritation of : ,"cimic., sol-n.",
Homeosetu Clinical Repertory; Boericke; Brain; Paralysis of :,"op., zinc.",
Homeosetu Clinical Repertory; Boericke; Brain; Softening of :,"salam., vanad.",
Homeosetu Clinical Repertory; Boericke; Brain; Tumour of :,merc-aur.,
Homeosetu Clinical Repertory; Boericke; Brain-fag :,"aeth., pic-ac.",
Homeosetu Clinical Repertory; Boericke; Breast; Affections of :,"lepi., orig.",
Homeosetu Clinical Repertory; Boericke; Breast; Atrophy of :,chim.,
Homeosetu Clinical Repertory; Boericke; Breast; Cancer of :,"ars-i., aster., bad., phyt., scirr.",
Homeosetu Clinical Repertory; Boericke; Breast; Fistula of : ,sil.,
Homeosetu Clinical Repertory; Boericke; Breast; Indurations of : ,"anan., aster., carb-an., clem.",
Homeosetu Clinical Repertory; Boericke; Breast; Inflammation of :,croto-t.,
Homeosetu Clinical Repertory; Boericke; Breast; Nodosities in :,scroph-n.,
Homeosetu Clinical Repertory; Boericke; Breast; Pains in :,"acet-ac., all-s., ars-met., aster., bell., berb-a., bor., Brom., bry., carb-an., com., con., cot., helon., iodof., lac-ac., lac-c., lap-a., lepi., merl., murx., myrt-c., pall., phyt., plb., polyg., rumx., zinc.",
Homeosetu Clinical Repertory; Boericke; Breast; Painful : ,"acet-ac., all-s., ars-met., aster., bell., berb-a., bor., Brom., bry., carb-an., com., con., cot., helon.",
Homeosetu Clinical Repertory; Boericke; Breast; Scirrhus of :,tarent-c.,
Homeosetu Clinical Repertory; Boericke; Breast; Sensitive :,med.,
Homeosetu Clinical Repertory; Boericke; Breast; Sore : ,"med., onos., rad-br., sang.",
Homeosetu Clinical Repertory; Boericke; Breast; Swelling of : ,"all-s., anan., Aster., calc., cycl., goss., helon., lac-c., merl., onos., urt-u.",
Homeosetu Clinical Repertory; Boericke; Breast; Tumors of :,"bell., berb-a., brom., chim., clem., goss., hydr., murx., phyt., scroph-n., thyr.",
Homeosetu Clinical Repertory; Boericke; Breast; Ulceration of : ,"ars-i., sil.",
"Homeosetu Clinical Repertory; Boericke; Breasts, pains between :","acet-ac., all-s., ars-met., aster., bell., berb-a., bor., Brom., bry., carb-an., com., con., cot., helon., iodof., lac-ac., lac-c., lap-a., lepi., merl., murx., myrt-c., pall., phyt., plb., polyg., rumx., zinc.",
Homeosetu Clinical Repertory; Boericke; Breath; Fetid :,"arn., ars-i., bapt., carb-ac., daph., diosm., guai., kali-p., mur-ac., sal-ac., sant., sars.",
Homeosetu Clinical Repertory; Boericke; Breath; Offensive :,"abies-n., bapt., caps., carb-ac., croc., diph., kali-p., merc-d., merc-i-f., myric., sang., sin-n., sol-t-ae., sul-ac.",
Homeosetu Clinical Repertory; Boericke; Breath; Putrid :,"cist., gels., nit-ac.",
Homeosetu Clinical Repertory; Boericke; Breath; Sour : ,rheum.,
Homeosetu Clinical Repertory; Boericke; Breathing :,"acet-ac., acon., acon-f., act-sp., agar., agar-ph., ail., all-c., Am-c., am-caust., am-m., ambr., ammc., ant-t., apis., apoc., arum-t., aspar., aur., bad., bapt., bell., benz-n., bor., botul., brom., bry., cact., cadm., calad., calc., calc-acet., calc-i., cann-i., cann-s., caps., carb-ac., carb-v., chen-a., chin., chlf., cic., cocc., con., cor-r., cot., crat., crot-c., croto-t., dig., dios., dros., dubin., euph., euph-l., ferr., ferr-ma., fic., fl-ac., gad., gels., Grin., guai., hep., hippoz., hydr-ac., ictod., iodof., ip., jab., kali-bi., kali-m., kali-s., lach., lact., laur., led., lob-c., lob-s., lycpr., lyss., mag-m., med., meli., menthol., naja., nat-m., nat-sal., nit-s-d., nux-v., oena., op., ox-ac., oxyd., parth., pect., ph-ac., phase., phyt., sabad., samb., sin-n., sol-n., solid., spong., stann., stry., sulfon., sulo-ac., sulph., ter., tong., triat., tril., trion., upa., vario., verat-v., viol-o., vip., visc., zing.",
Homeosetu Clinical Repertory; Boericke; Bright's disease : ,"adon., apoc., arge., ars., brach., kali-cit., merc-c., oxyd., phos., solid., ter., titan., zinc-pic.",
Homeosetu Clinical Repertory; Boericke; Bright's disease; Headache of : ,zinc-pic.,
,,
Homeosetu Clinical Repertory; Boericke; Bronchiectasis :,ichth.,
Homeosetu Clinical Repertory; Boericke; Bronchitis :,"alum-sil., am-i., am-p., ammc., ange., ant-i., ars-i., asc-t., bac., bals-p., bals-t., blatta., bold., bor-ac., brom., cean., coc-c., dig., Diphtox., erio., eucal., ferr-p., gels., grin., hippoz., hydr., ichth., inul., kali-c., kali-hp., kali-n., led., lip., mang., marr., myos., myrt-c., myrt-ch., naphtin., narc-ps., nat-ar., nat-i., phel., pix., prun-v., sabal., seneg., silphu., solid., solin., squil., succ., sul-ac., terebe., tub-a., verat., zinc.",
Homeosetu Clinical Repertory; Boericke; Bronchitis; Capillary :,alum-sil.,
Homeosetu Clinical Repertory; Boericke; Bronchitis; Chronic :,"ammc., ange., ars-i., bals-p., bals-t., cean., coc-c., dig., diphtox., erio., grin., inul., kali-hp., lip., marr., myos., Myrt-ch., nat-i., pix., prun-v., sabal., silphu., squil., succ., terebe., verat.",
Homeosetu Clinical Repertory; Boericke; Bronchitis; Croupous : ,alum-sil.,
Homeosetu Clinical Repertory; Boericke; Bronchitis; Membranous : ,myrt-c.,
Homeosetu Clinical Repertory; Boericke; Bronchorrhea : ,"acet-ac., agri., bac., cetr., eucal., Grin., myos., nym., tub.",
Homeosetu Clinical Repertory; Boericke; Brow ague : ,cupr-acet.,
Homeosetu Clinical Repertory; Boericke; Bruises : ,"acet-ac., acon., aesc., am-m., anemps., apis., Arn., bapt., bar-c., bell-p., berb., bov., calc-s., canch., Carb-s., chin., chlf., clem., cocc., coloc., con., cupr., euon-a., fago., gels., gins., ham., hyper., ip., kali-bi., lappa., lycpr., mag-s., menis., merc., merc-c., mez., morph., nat-m., nat-s., nux-v., ol-an., phyt., ran-b., ran-s., rham-cal., ruta., sabin., sarr., sep., staph., stel., sul-ac., tann-ac., thlaspi., verbe-h.",
Homeosetu Clinical Repertory; Boericke; Bubo : ,"anthr., ars-i., bad., bufo., carb-an., Cinnb., merc., Merc-i-r., merc-pr-r., phyt., tarent-c.",
Homeosetu Clinical Repertory; Boericke; Bulimy : ,"alf., calen., glon., kali-m., lyc.",
Homeosetu Clinical Repertory; Boericke; Bullae : ,"antipyrin., bufo., calth., merc.",
Homeosetu Clinical Repertory; Boericke; Bunion : ,benz-ac.,
Homeosetu Clinical Repertory; Boericke; Burning pains :,"acet-ac., agar-em., alf., aln., alum., alumn., am-c., anag., antipyrin., aphis., apis., arg-n., arist-m., Ars., art-v., arund., bar-c., berb., bism., bor., brom., bry., cadm-br., cadm., cahin., calc., calc-ar., calc-f., canth., caps., carb-ac., carb-an., carb-v., card-m., chol., cic., coloc., con., cop., croto-t., cund., cupr-ar., cycl., cyt-l., equis., euph., form., graph., grat., hedeom., hyper., ichth., juni-v., kali-bi., kali-i., kali-n., kreos., lap-a., lat-h., lath., lyc., manc., med., merc., merc-c., mez., naja., nat-ar., nat-m., ol-an., olnd., ox-ac., pall., paraf., phos., phyt., pip-n., plb., pyrog., rat., ric., rob., sabin., sal-ac., sang., sanguin-n., sec., solid., spira., sulph., tarent-c., ter., thuj., uran-n., uva., verat-v., vesp.",
Homeosetu Clinical Repertory; Boericke; Burns :,"aesc., Agar., alum., ambr., ambro., apis., ars., ars-i., ars-met., arum-d., arum-t., asar., aza., bapt., bell., berb., bry., cact., calad., calen., Canth., carb-ac., carb-an., caust.",
Homeosetu Clinical Repertory; Boericke; Bursitis :,kali-m.,
Homeosetu Clinical Repertory; Boericke; Cachexia :,"Ars., carc., cory., eup-per., hydr., malar., nit-ac., plb., sec.",
Homeosetu Clinical Repertory; Boericke; Cachexia; Cancerous : ,"carc., cory.",
Homeosetu Clinical Repertory; Boericke; Calculus :,"bold., bruc., Calcul-r., coc-c., epig., equis., fab., fel., frag., gali., hydrang., oci., onon., oxyd., pariet., pipe., pyrog., trib., uva.",
Homeosetu Clinical Repertory; Boericke; Calculus; Biliary :,"bold., fel.",
"Homeosetu Clinical Repertory; Boericke; Calculus; Renal, passage of :","calcul-r., epig., hydrang., oci., pariet.",
Homeosetu Clinical Repertory; Boericke; Calculus; Urinary : ,"coc-c., equis., pipe.",
Homeosetu Clinical Repertory; Boericke; Callosities : ,lyc.,
Homeosetu Clinical Repertory; Boericke; Camp diarrhoea : ,"alst-s., jug-c.",
Homeosetu Clinical Repertory; Boericke; Camp fever :,valer.,
Homeosetu Clinical Repertory; Boericke; Cancer :,"acet-ac., am-m., ant-m., apis., aq-mar., arg-n., ars-i., astac., aster., aur-m., bad., bufo., calc-acet., calc-ar., calc-o-t., calc-ox., calen., calth., carb-an., Carb-s., carc., card-m., chol., cholin., cinnam., cist., cit-ac., cit-l., con., cory., crot-h., cund., echi., eos., euph., Fuli., gali., graph., gua., hippoz., ho., hydr., hydrc., kali-ar., kali-cy., kali-ma., kali-p., kreos., lob-e., lup., maland., nat-sil-f., orni., oxal., ph-ac., phyt., rad-br., rumx-ac., sabad., sang., scirr., scroph-n., sed-r., sel., semp., senec-j., tarax., trif-p., vib-p., x-ray.",
"Homeosetu Clinical Repertory; Boericke; Cancer; Bone, of :",nat-sil-f.,
"Homeosetu Clinical Repertory; Boericke; Cancer; Breast, of :","ars-i., aster., bad., phyt., scirr.",
Homeosetu Clinical Repertory; Boericke; Cancer; Pains of : ,"calc-acet., calc-ar., calc-o-t., calc-ox., carb-an., cinnam., Cit-ac., cit-l., cund., echi., euph., hydrc., lup., ph-ac.",
"Homeosetu Clinical Repertory; Boericke;Cancer; Stomach, of : ","Acet-ac., am-m., calc-ar., carc., crot-h., cund., hydr.",
Homeosetu Clinical Repertory; Boericke; Cancerous; Cachexia :,"carc., cory.",
Homeosetu Clinical Repertory; Boericke; Cancerous; Diathesis : ,"con., scirr., trif-p.",
Homeosetu Clinical Repertory; Boericke; Cancerous; Ulcers : ,"ars-i., aster., gali., ho., Hydr., kreos., rad-br.",
Homeosetu Clinical Repertory; Boericke; Carbuncle : ,"anthr., apis., bufo., carb-v., crot-h., cupr-ar., echi., euph., Gunp., insulin., lach., led., mur-ac., myris., rhus-t., sul-ac., tarent-c., thuj., vip.",
Homeosetu Clinical Repertory; Boericke; Carcinoma :,"ars-br., cadm., carc., cund., euph., form., form-ac., Lap-a., lyc., ruta., semp.",
Homeosetu Clinical Repertory; Boericke; Cardiac asthma :,"adon., kali-n., lycps., queb., stroph., sumb.",
Homeosetu Clinical Repertory; Boericke; Cardialgia :,"caul., ferr-cy., ferr-t., stront-c.",
Homeosetu Clinical Repertory; Boericke; Caries :,"ang., arg., asaf., Aur., cadm., calc-f., chin., cist., con., fl-ac., hecla., merc., mez., nat-sil-f., nit-ac., phos., plat-m-n., sil., syph., ther.",
Homeosetu Clinical Repertory; Boericke; Cartilages; Bruises of :,ruta.,
Homeosetu Clinical Repertory; Boericke; Cartilages; Pains in : ,"anis., arn.",
Homeosetu Clinical Repertory; Boericke; Caruncle :,"anthr., apis., bufo., carb-v., crot-h., cupr-ar., echi., euph., Gunp., insulin., lach., led., mur-ac., myris., rhus-t., sul-ac., tarent-c., thuj., vip.",
Homeosetu Clinical Repertory; Boericke; Catalepsy : ,"acon-c., cann-i., Cur., graph., hydr-ac., mosch.",
Homeosetu Clinical Repertory; Boericke; Cataract :,"am-m., bar-c., calc., calc-f., cann-s., caust., chim., Cine., coch., hed., led., naphtin., nat-m., phos., quas., sec., sil., tell., thiosin.",
Homeosetu Clinical Repertory; Boericke; Catarrh : ,"abies-c., agra., agri., all-c., all-s., alum-sil., alumn., am-br., am-c., am-i., am-m., ammc., anemps., anis., ant-ar., ant-c., ant-s., ant-t., apoc., arg-n., ars., ars-i., ars-s-r., arund., asar., asc-i., asc-t., bac., Bals-p., bar-c., baros., bell., benz-ac., berb., berb-a., beta., bism., bold., calad., calc., calc-f., calc-i., calc-s., calc-sil., calen., camph., caust., cean-tr., cetr., chim., chin., coc-c., colchin., coll., coloc., Cop., cor-r., cory., cot., coto., cub., cund., dam., diph., dulc., echi., elaps., Eucal., euon-a., euphr., Fab., fago., fel., ferr-p., fl-ac., form-ac., formal., gels., ger., grat., grin., helia., hep., hepat., hippoz., Hydr., illec., indg., iod., irid., joan., juglin., juni-c., just., Kali-bi., kali-i., Kali-m., kali-sil., kreos., lach., led., lem-m., lob., lob-s., lyc., mag-c., mag-m., mang., mangi., manz., mati., med., menthol., merc., merc-aur., merc-d., mit., mucot., myrt-ch., nat-ar., nat-c., nat-h., nat-i., nat-p., nat-s., nat-suc., nicc., nit-ac., nit-m-ac., nux-v., onis., osm., par., pareir., pen., petr., phos., pic-ac., pop., pop-c., psor., puls., quill., ros-d., sabal., sang., sanguin-n., seneg., sep., silphu., skook., solid., spig., spong., Stict., stigm., sulph., tell., teucr., thiosin., thuj., titan., torul., tritic., uva., verb., xero., zing.",
Homeosetu Clinical Repertory; Boericke; Catarrh; Chronic : ,"Am-br., ammc., ant-s., apoc., ars-i., asc-i., bac., bals-p., berb-a., beta., caust., chim., coll., coto., cund., elaps., eucal., euon-a., fel., fl-ac., grat., irid., kali-bi., kali-m., kreos., mang., mangi., med., mucot., nat-h., nat-i., nit-ac., pen., petr., phos., pic-ac., psor., sanguin-n., sep., spig., spong., sulph., teucr., thuj., zing.",
Homeosetu Clinical Repertory; Boericke; Catarrh; Intestinal :,"colchin., coto., Eucal., fel., zing.",
Homeosetu Clinical Repertory; Boericke; Catarrh; Nasal :,"anemps., ant-s., apoc., Ars-i., bals-p., calc-f., cean-tr., coll., cor-r., elaps., fab., fl-ac., helia., joan., kali-i., kali-sil., lach., med., menthol., nat-ar., Nat-c., nat-s., nicc., nit-ac., sanguin-n., sep., spong., teucr., titan., xero.",
Homeosetu Clinical Repertory; Boericke; Catarrhal affections : ,"all-s., am-m., berb-a., caust., chim., diph., euon-a., euphr., ferr-p., formal., kali-m., led., nat-i., pareir.",
Homeosetu Clinical Repertory; Boericke; Catarrhal affections; Pneumonia : ,,
Homeosetu Clinical Repertory; Boericke; Catheter fever : ,camph-ac.,
Homeosetu Clinical Repertory; Boericke; Catheterism : ,"camph-ac., solid., thlaspi.",
Homeosetu Clinical Repertory; Boericke; Cauliflower excrescences :,kali-ar.,
Homeosetu Clinical Repertory; Boericke; Cellulitis : ,"lach., mag-s., mang., Rhus-t.",
"Homeosetu Clinical Repertory; Boericke; Cerebellum, pain in : ",camph.,
Homeosetu Clinical Repertory; Boericke; Cerebrospinal irritation : ,senec-j.,
Homeosetu Clinical Repertory; Boericke; Cerebrospinal meningitis : ,"cic., crot-h., cyt-l., echi., oreo., phys., zinc-cy.",
Homeosetu Clinical Repertory; Boericke; Chafing :,ars-s-f.,
Homeosetu Clinical Repertory; Boericke; Chalazion : ,staph.,
Homeosetu Clinical Repertory; Boericke; Chancre :,"acet-ac., anan., cinnb., cupr-ar., hep., Jac-c., jug-r., merc., merc-acet., merc-c., merc-i-f., Merc-i-r., merc-pr-r.",
Homeosetu Clinical Repertory; Boericke; Chancroid :,"acet-ac., anan., cinnb., cupr-ar., hep., Jac-c., jug-r., merc., merc-acet., merc-c., merc-i-f., Merc-i-r., merc-pr-r.",
Homeosetu Clinical Repertory; Boericke; Change of life :,"apoc., arg-n., con., lil-t.",
Homeosetu Clinical Repertory; Boericke; Chapped hands : ,"cast-eq., mom-b., nat-c.",
Homeosetu Clinical Repertory; Boericke; Chaps :,"alum., ant-c., Arum-t., bov., calc-f., cast-eq., chap., hep., lup., mom-b., nat-c., olnd., ran-b.",
Homeosetu Clinical Repertory; Boericke; Chemosis :,"apis., guare., hep., kali-i., sul-ac., vesp.",
Homeosetu Clinical Repertory; Boericke; Chest; Affections of :,"laur., nit-ac.",
Homeosetu Clinical Repertory; Boericke; Chest; Oppression of :,"acon., am-m., ambr., aml-n., anac., ant-c., apoc., arg., aspar., brach., cact., calc., cann-i., con., Cot., elaps., euph., ferr., ferr-i., fl-ac., gels., gran., haem., hydrang., jab., kreos., led., lim., lob., lycpr., mag-p., magn-gr., mosch., nat-ar., olnd., petr., phos., physal., prun., rhus-t., samb., scroph-n., sec., seneg., sep., spong., viol-o., xan.",
Homeosetu Clinical Repertory; Boericke; Chest; Pains in :,"abies-n., acal., acet-ac., acon., aesc., all-s., alum-sil., am-br., aml-n., ant-t., aran., arg-n., arn., asc-t., aster., brom., cact., calc., calc-hp., calc-i., calc-sil., canth., carb-v., card-m., caust., Cere-b., chlf., coch., com., con., corn-f., cot., croto-t., dios., echi., elaps., ferr-p., form., gad., gran., graph., guai., guare., haem., hydr., hydr-ac., ictod., iodof., jug-c., kali-c., kali-n., kreos., lac-ac., lap-a., lat-m., lob., lob-c., lob-s., lyc., lycpr., mag-c., med., meph., myrt-c., nat-n., nat-s., ol-j., onos., paeon., phys., phyt., pip-n., pix., psor., ran-b., ran-s., raph., rhod., sang., sec., senec., sol-n., squil., stict., stront-c., stry., succ., succ-ac., ther., tril., upa.",
